Country;Total Events
Afghanistan;13095235
Albania;961336
Algeria;1359939
American Samoa;23922
Andorra;9750
Angola;1148547
Anguilla;15588
Antarctica;73398
Antigua and Barbuda;64533
Argentina;1478917
Armenia;2501413
Aruba;49869
Australia;15388109
Austria;1562084
Azerbaijan;2537487
Bahamas, The;772221
Bahrain;1444081
Baker Island;36
Bangladesh;2960043
Barbados;181964
Bassas da India;3
Belarus;1386410
Belgium;2570352
Belize;304368
Benin;228450
Bermuda;441135
Bhutan;243774
Bolivia;553480
Bosnia-Herzegovina;583725
Botswana;611526
Bouvet Island;63
Brazil;2771393
British Indian Ocean Territory;2271
British Virgin Islands;17946
Brunei;448212
Bulgaria;1775401
Burkina Faso;242121
Burundi;455310
Cambodia;1403022
Cameroon;507016
Canada;14098479
Cape Verde;45207
Cayman Islands;141552
Central African Republic;402204
Chad;656801
Chile;1164817
China;21200549
Christmas Island;46263
Colombia;2292506
Comoros;67332
Congo;407772
Cook Islands;28575
Coral Sea Islands;3
Costa Rica;355997
Cote dIvoire;782281
Croatia;1111605
Cuba;2977294
Cyprus;1245888
Czech Republic;1630214
Czechoslovakia;502548
Democratic Republic of the Congo;584685
Denmark;1315615
Djibouti;267378
Dominica;37277
Dominican Republic;377494
East Timor;312729
Ecuador;610920
Egypt;9627598
El Salvador;323799
Equatorial Guinea (GV);472899
Equatorial Guinea (EK);111681
Eritrea;399032
Estonia;434562
Ethiopia;1735876
Falkland Islands Islas Malvinas;4782
Faroe Islands;9015
Fiji;1160751
Finland;837017
France;12213081
French Guiana;15513
French Polynesia;26442
Gabon;141906
Gambia;542574
Gaza Strip;1093233
Georgia;1590366
Germany;9128264
Ghana;3247572
Gibraltar;78864
Greece;3129225
Greenland;100879
Grenada;463866
Guadeloupe;11535
Guam;196734
Guatemala;468021
Guernsey;30003
Guinea-Bissau;141090
Guyana;268860
Haiti;1406301
Heard Island and McDonald Islands;51
Honduras;537129
Hong Kong;1159391
Howland Island;942
Hungary;1137104
Iceland;285625
India;21905128
Indonesia;5483696
Iran;14499271
Iraq;14820394
Ireland;5091240
Isle of Man;5931
Israel;21980010
Italy;6066644
Jamaica;1441128
Jan Mayen;192
Japan;9124867
Jarvis Island;30
Jersey;491991
Johnston Atoll;141
Jordan;2726772
Juan de Nova Island;33
Kazakhstan;1114277
Kenya;5433992
Kingman Reef;57
Kiribati;35664
Kosovo;263838
Kuwait;1408233
Kyrgyzstan;922914
Laos;348225
Latvia;474786
Lebanon;4992287
Lesotho;104301
Liberia;1267992
Libya;4936332
Liechtenstein;34164
Lithuania;581616
Luxembourg;308123
Macau;108399
Macedonia;821768
Madagascar;233152
Malawi;561000
Malaysia;5332557
Maldives;277857
Mali;890844
Malta;973608
Marshall Islands;72894
Martinique;13614
Mauritania;306998
Mauritius;153711
Mayotte;4923
Mexico;4999692
Micronesia;610534
Midway Islands;66
Moldova;463702
Monaco;81024
Mongolia;321408
Montenegro;194490
Montserrat;115389
Morocco;1056636
Mozambique;613380
Myanmar;2248769
Namibia;1036077
Nauru;65793
Navassa Island;45
Nepal;2203383
Netherlands;2462795
Netherlands Antilles;3975
New Caledonia;22839
New Zealand;3666714
Nicaragua;311682
Niger;419953
Nigeria;12194874
Niue;9453
Norfolk Island;2751
North Korea;3431748
Northern Mariana Islands;1802053
Norway;1543491
Oceans;412620
Oman;707824
Pakistan;19191396
Palau;60489
Palmyra Atoll;135
Panama;473916
Papua New Guinea;288024
Paracel Islands;3516
Paraguay;210393
Peru;1151502
Philippines;8517720
Pitcairn Islands;4098
Poland;2293726
Portugal;1134216
Puerto Rico;1036679
Qatar;1742640
Reunion;22605
Romania;1296183
Russia;21867624
Rwanda;1515719
Saint Helena;62277
Saint Kitts and Nevis;14304
Saint Lucia;23274
Saint Martin;2382
Saint Pierre and Miquelon;567
Saint Vincent and the Grenadines;36183
Samoa;139782
San Marino;12063
Sao Tome and Principe;46452
Saudi Arabia;4604156
Senegal;505865
Serbia;1169009
Seychelles;812589
Sierra Leone;868002
Singapore;1886994
Slovenia;301770
Solomon Islands;145167
Somalia;3665299
South Africa;8694557
South Korea;4864807
South Sudan;623287
Spain;4494015
Spratly Islands;6930
Sri Lanka;3647926
Sudan;4434055
Suriname;55482
Svalbard;9165
Swaziland;311613
Sweden;1998702
Switzerland;2863481
Syria;11209920
Taiwan;2659480
Tajikistan;852359
Tanzania;1061454
Thailand;4451908
Togo;220704
Tokelau;4317
Tonga;107814
Trinidad and Tobago;506154
Tromelin Island;33
Tunisia;1450455
Turkey;9281855
Turkmenistan;546291
Turks and Caicos Islands;2826
Tuvalu;25260
Uganda;3630295
Ukraine;5602453
United Arab Emirates;2536073
United Kingdom;26603532
United States;215103830
Uruguay;275097
Uzbekistan;859659
Vanuatu;69858
Vatican City;181098
Venezuela;2023535
Vietnam, Democratic Republic of;3175435
Virgin Islands;55260
Wake Island;1050
Wallis and Futuna;90
West Bank;1978634
Western Sahara;71107
Yemen;2684252
Zambia;1949514
Zimbabwe;3556779
OC;262059
RB;1706641
YI;89832
;
